CXCR4 Enamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWISSADME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
CUEN-7969,NCCCCCOc1cccc2c1C(=O)N(C2=O)C1CCC(=O)NC1=O,C18H21N3O5,359.38,26,6,0.44,7,6,2,99.38,118.8,2.03,0.43,-0.17,1.21,1.72,1.04,-2.05,3.22,0.00896,Soluble,-2.49,1.16,0.00322,Soluble,-4.41,0.014,0.000039,Moderately soluble,High,No,Yes,No,No,No,No,No,-8.19,0,0,0,0,0,0.55,0,1,1,3.22
CUEN-887,NC1CCCC(C1)c1nc2c([nH]1)cccc2,C13H17N3,215.29,16,9,0.46,1,2,2,65.69,54.7,1.76,1.9,2.55,1.9,2.52,2.13,-2.72,0.408,0.0019,Soluble,-2.67,0.459,0.00213,Soluble,-3.77,0.037,0.000172,Soluble,High,Yes,Yes,Yes,No,No,No,No,-6.26,0,0,0,0,0,0.55,0,0,1,2.75
CUEN-313,O=C(Cc1ccco1)NCCc1nc2c([nH]1)cccc2,C15H15N3O2,269.3,20,14,0.2,6,3,2,75.24,70.92,1.97,1.79,2.06,0.87,3.11,1.96,-2.76,0.469,0.00174,Soluble,-2.9,0.341,0.00126,Soluble,-5.86,0.000374,0.00000139,Moderately soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-6.67,0,0,0,0,0,0.55,0,0,0,2.41
CUEN-536,C1CN=C(N1)C1CCCc2c1cccc2,C13H16N2,200.28,15,6,0.46,1,1,1,69.91,24.39,2.07,1.79,1.35,2.74,3.6,2.31,-2.44,0.728,0.00364,Soluble,-1.92,2.4,0.012,Very soluble,-4.2,0.0128,0.0000638,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.25,0,0,0,0,0,0.55,0,0,1,3.02
CUEN-990,NCC1CCc2c(C1)cccc2,C11H15N,161.24,12,6,0.45,1,1,1,51.39,26.02,2.28,1.89,1.75,2.39,2.54,2.17,-2.33,0.747,0.00463,Soluble,-2.06,1.41,0.00873,Soluble,-3.31,0.079,0.00049,Soluble,High,Yes,No,No,No,No,Yes,No,-5.94,0,0,0,0,2,0.55,0,0,1,2.02
CUEN-939,NC1CCCc2c1cccc2,C10H13N,147.22,11,6,0.4,0,1,1,46.58,26.02,1.85,1.72,1.7,2.1,2.23,1.92,-2.24,0.847,0.00575,Soluble,-1.88,1.93,0.0131,Very soluble,-2.9,0.187,0.00127,Soluble,High,Yes,No,No,No,No,No,No,-5.98,0,1,0,0,2,0.55,0,0,1,1.84
CUEN-801,N[C@@H]1CCCc2c1cccc2,C10H13N,147.22,11,6,0.4,0,1,1,46.58,26.02,1.88,1.72,1.7,2.1,2.23,1.93,-2.24,0.847,0.00575,Soluble,-1.88,1.93,0.0131,Very soluble,-2.9,0.187,0.00127,Soluble,High,Yes,No,No,No,No,No,No,-5.98,0,1,0,0,2,0.55,0,0,1,1.84
CUEN-635,N[C@H]1CCCc2c1nccc2,C9H12N2,148.2,11,6,0.44,0,2,1,44.38,38.91,1.61,0.53,1.09,0.87,1.7,1.16,-1.5,4.73,0.0319,Very soluble,-0.92,17.9,0.121,Very soluble,-2.52,0.443,0.00299,Soluble,High,Yes,No,No,No,No,No,No,-6.83,0,1,0,0,1,0.55,0,0,1,2.32
CUEN-177,OCC1CCCc2c1nccc2,C10H13NO,163.22,12,6,0.5,1,2,1,47.64,33.12,1.88,1.19,1.49,1.17,2.24,1.6,-1.91,2.03,0.0124,Very soluble,-1.48,5.38,0.033,Very soluble,-2.72,0.309,0.00189,Soluble,High,Yes,No,No,No,No,No,No,-6.45,0,0,0,0,1,0.55,0,0,1,2.51
CUEN-424,NCCC1Cc2c(C1)cccc2,C11H15N,161.24,12,6,0.45,2,1,1,51.39,26.02,2.12,1.89,1.75,2.39,2.61,2.15,-2.27,0.869,0.00539,Soluble,-2.06,1.41,0.00873,Soluble,-3.44,0.0591,0.000366,Soluble,High,Yes,No,No,No,No,Yes,No,-5.94,0,0,0,0,2,0.55,0,0,1,1.4
